College_ID,Academic Program Name,Quota,Special Quota,Seat Type,Gender,Round,Opening Rank,Closing Rank
16,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,177,177
16,"Civil Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,195,195
16,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Female-only (including Supernumerary),2,105,105
16,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,2,106,106
17,"Civil Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,210,210
17,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,79,79
17,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Female-only (including Supernumerary),2,119,119
17,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,180,180
18,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,54,54
18,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,158,158
18,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Female-only (including Supernumerary),2,212,212
19,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,2,200,200
20,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,115,115
21,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,10,10
21,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,35,35
21,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,113,113
22,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,61,61
23,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,142,142
24,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,2,63,63
24,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,51,51
24,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,,EWS (PwD),Gender-Neutral,2,78,78
25,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,155,155
26,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Female-only (including Supernumerary),2,114,114
26,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,136,136
26,"Information Technology (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,85,85
28,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,59,59
28,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,131,131
29,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,2,109,109
29,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,20,20
29,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Female-only (including Supernumerary),2,100,100
29,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,125,125
30,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,2,173,173
31,"Civil Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,116,116
31,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,88,88
32,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,144,144
32,"Civil Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,2,38,38
32,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,17,17
32,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,64,64
33,"Civil Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,244,244
34,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,26,26
34,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,2,224,224
35,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,111,111
35,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,179,179
35,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,,EWS (PwD),Gender-Neutral,2,82,82
36,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,,EWS (PwD),Gender-Neutral,2,102,102
37,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,247,247
38,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,197,197
40,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,206,206
41,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,225,225
42,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,71,71
42,"Information Technology (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,33,33
44,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,99,99
44,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,261,261
45,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,226,226
46,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,171,171
48,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,252,252
49,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,168,168
50,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,101,101
51,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,160,160
51,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,213,213
53,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,157,157
55,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,189,189
55,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,143,143
57,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,153,153
57,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Gender-Neutral,2,186,186
58,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,2,230,230
1,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,21,21
1,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,11P,11P
2,"Civil Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,2P,2P
2,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,2,2
3,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,9,9
4,"Civil Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,19P,19P
4,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,3,3
4,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,6,6
5,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,7,7
5,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,19,19
5,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,14,14
5,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,,EWS (PwD),Gender-Neutral,3,13P,13P
6,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,4,4
6,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,21P,21P
6,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,,EWS (PwD),Gender-Neutral,3,17,17
7,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,20,20
8,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,14P,14P
9,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,25,25
10,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,26,26
11,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,18,18
12,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,3,23P,23P
13,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,,EWS (PwD),Female-only (including Supernumerary),3,198,198
